ds,y
4/24/2015,32.56999969
4/27/2015,33.16249847
4/28/2015,32.63999939
4/29/2015,32.15999985
4/30/2015,31.28750038
5/1/2015,32.23749924
5/4/2015,32.17499924
5/5/2015,31.45000076
5/6/2015,31.25250053
5/7/2015,31.31500053
5/8/2015,31.90500069
5/11/2015,31.57999992
5/12/2015,31.46750069
5/13/2015,31.50250053
5/14/2015,32.23749924
5/15/2015,32.19250107
5/18/2015,32.54750061
5/19/2015,32.51750183
5/20/2015,32.51499939
5/21/2015,32.84749985
5/22/2015,33.13499832
5/26/2015,32.40499878
5/27/2015,33.00999832
5/28/2015,32.94499969
5/29/2015,32.56999969
6/1/2015,32.63499832
6/2/2015,32.49000168
6/3/2015,32.52999878
6/4/2015,32.34000015
6/5/2015,32.16249847
6/8/2015,31.95000076
6/9/2015,31.85499954
6/10/2015,32.22000122
6/11/2015,32.14749908
6/12/2015,31.79249954
6/15/2015,31.72999954
6/16/2015,31.89999962
6/17/2015,31.82500076
6/18/2015,31.96999931
6/19/2015,31.64999962
6/22/2015,31.90250015
6/23/2015,31.75749969
6/24/2015,32.02750015
6/25/2015,31.875
6/26/2015,31.6875
6/29/2015,31.13249969
6/30/2015,31.35750008
7/1/2015,31.64999962
7/2/2015,31.61000061
7/6/2015,31.5
7/7/2015,31.42250061
7/8/2015,30.64249992
7/9/2015,30.01749992
7/10/2015,30.81999969
7/13/2015,31.41500092
7/14/2015,31.40250015
7/15/2015,31.70499992
7/16/2015,32.12749863
7/17/2015,32.40499878
7/20/2015,33.01750183
7/21/2015,32.6875
7/22/2015,31.30500031
7/23/2015,31.29000092
7/24/2015,31.125
7/27/2015,30.69249916
7/28/2015,30.84499931
7/29/2015,30.74749947
7/30/2015,30.59250069
7/31/2015,30.32500076
8/3/2015,29.61000061
8/4/2015,28.65999985
8/5/2015,28.85000038
8/6/2015,28.78249931
8/7/2015,28.87999916
8/10/2015,29.93000031
8/11/2015,28.37249947
8/12/2015,28.80999947
8/13/2015,28.78750038
8/14/2015,28.98999977
8/17/2015,29.29000092
8/18/2015,29.125
8/19/2015,28.75250053
8/20/2015,28.16250038
8/21/2015,26.44000053
8/24/2015,25.78000069
8/25/2015,25.93499947
8/26/2015,27.42250061
8/27/2015,28.22999954
8/28/2015,28.32250023
8/31/2015,28.19000053
9/1/2015,26.93000031
9/2/2015,28.08499908
9/3/2015,27.59250069
9/4/2015,27.31749916
9/8/2015,28.07749939
9/9/2015,27.53750038
9/10/2015,28.14249992
9/11/2015,28.55249977
9/14/2015,28.82749939
9/15/2015,29.06999969
9/16/2015,29.10250092
9/17/2015,28.47999954
9/18/2015,28.36249924
9/21/2015,28.80249977
9/22/2015,28.35000038
9/23/2015,28.57999992
9/24/2015,28.75
9/25/2015,28.67749977
9/28/2015,28.11000061
9/29/2015,27.26499939
9/30/2015,27.57500076
10/1/2015,27.39500046
10/2/2015,27.59499931
10/5/2015,27.69499969
10/6/2015,27.82749939
10/7/2015,27.69499969
10/8/2015,27.375
10/9/2015,28.03000069
10/12/2015,27.89999962
10/13/2015,27.94750023
10/14/2015,27.55249977
10/15/2015,27.96500015
